year,month,title,author,publisher,image,date,genre,sales_count,score,sales
2024,1,용선생 교과서 세계사 2,"사회평론 역사연구소,송용운,김언진,길병민,한승준글 외 5명정보 더 보기 / 감추기사회평론 역사연구소송용운김언진길병민한승준김보미정엄지뭉선생이우일전국초등사회교과모임",사회평론,https://image.yes24.com/goods/124106985/L,2023년 12월,#쓸모없는역사는없다,62751.0,9.9,
2024,1,불멸의 지혜,월러스 워틀스 (저) / 서진편 (저),스노우폭스북스,https://image.yes24.com/goods/124123647/L,2023년 12월,,10926.0,9.4,
2024,1,시대예보: 핵개인의 시대,송길영 (저),교보문고,https://image.yes24.com/goods/122457906/L,2023년 09월,#경제전망,47667.0,9.0,
2024,1,해커스 토익 LC Listening(리스닝) 기본서,David Cho (저),해커스어학연구소,https://image.yes24.com/goods/116020471/L,2024년 08월,#너만알려줄게고득점비법,164448.0,9.7,
2024,1,타키 포오 코믹 어드벤처 4,캐릭온TV원 (저) / 안도감글 / 김규태그림,대원씨아이(단행)(대원키즈),https://image.yes24.com/goods/124472862/L,2024년 01월,#모험동화,14460.0,9.8,
2024,1,레버리지,롭 무어 (저) / 김유미 (역),다산북스,https://image.yes24.com/goods/117389523/L,2023년 02월,#편집자의시대_편집자가만든책,52089.0,9.1,
2024,1,[예스리커버] NEW 미꽃체 손글씨 노트,최현미 (저),시원북스,https://image.yes24.com/goods/119811851/L,2023년 06월,#예스리커버,48576.0,9.5,
2024,1,오십에 읽는 주역,강기진 (저),유노북스,https://image.yes24.com/goods/123126171/L,2023년 10월,#동양철학,52662.0,9.2,
2024,1,그대 늙어가는 것이 아니라 익어가는 것이다,오평선 (저),포레스트북스,https://image.yes24.com/goods/116413599/L,2022년 12월,#서탐대실,23013.0,9.6,
2024,1,서윤맘의 밥태기 없는 아이주도 유아식,서윤맘(정윤지) (저),21세기북스,https://image.yes24.com/goods/124489213/L,2024년 01월,#채소싫어하는아이,2250.0,10.0,
2024,1,이기적 유전자 The Selfish Gene,"리처드 도킨스 (저) / 홍영남,이상임 (역)",을유문화사,https://image.yes24.com/goods/65067259/L,2018년 10월,#크레마클럽에있어요,156306.0,9.2,
2024,1,웡카,"시빌 파운더글 / Paul King,사이먼 파너비편 / 김난령 (역)",시공주니어,https://image.yes24.com/goods/124213903/L,2024년 01월,#넘치는상상력,10845.0,9.9,
2024,1,데일 카네기 인간관계론 (무삭제 완역본),데일 카네기 (저) / 박선영 (역) / 신영준감수,상상스퀘어,https://image.yes24.com/goods/123877358/L,2023년 11월,,10008.0,9.8,
2024,1,코스모스,칼 에드워드 세이건 (저) / 홍승수 (역),사이언스북스,https://image.yes24.com/goods/2312211/L,2006년 12월,#물리학자김범준추천,191445.0,9.6,
